first_name,middle_name,last_name,thomas_id,twitter_account,state,dw_nominate,ideal_point,party
Robert,B.,Aderholt,1460,Robert_Aderholt,AL,,,R
Justin,,Amash,2029,RepJustinAmash,MI,,,R
Mark,,Amodei,2090,MarkAmodeiNV2,NV,,,R
Alma,,Adams,2201,RepAdams,NC,,,D
Pete,,Aguilar,2229,aguilarpete,CA,,,D
Rick,,Allen,2239,RepRickAllen,GA,,,R
Brad,,Ashford,2257,RepBradAshford,NE,,,D
Ralph,,Abraham,2244,RepAbraham,LA,,,R
Joe,L.,Barton,62,RepJoeBarton,TX,,,R
Xavier,,Becerra,70,RepBecerra,CA,,,D
Sanford,D.,Bishop Jr.,91,SanfordBishop,GA,,,D
Earl,,Blumenauer,99,BlumenauerMedia,OR,,,D
John,A.,Boehner,102,SpeakerBoehner,OH,,,R
Kevin,,Brady,1468,RepKevinBrady,TX,,,R
Corrine,,Brown,132,RepCorrineBrown,FL,,,D
Robert,A.,Brady,1469,RepBrady,PA,,,D
Marsha,,Blackburn,1748,MarshaBlackburn,TN,,,R
Madeleine,Z.,Bordallo,1723,,GU,,,D
Michael,C.,Burgess,1751,MichaelCBurgess,TX,,,R
Rob,,Bishop,1753,RepRobBishop,UT,,,R
G.,K.,Butterfield,1761,GKButterfield,NC,,,D
Charles,,Boustany Jr.,1787,RepBoustany,LA,,,R
Gus,,Bilirakis,1838,RepGusBilirakis,FL,,,R
Vern,,Buchanan,1840,VernBuchanan,FL,,,R
Lou,,Barletta,2054,RepLouBarletta,PA,,,R
Karen,,Bass,1996,RepKarenBass,CA,,,D
Dan,,Benishek,2027,CongressmanDan,MI,,,R
Diane,,Black,2063,RepDianeBlack,TN,,,R
Mo,,Brooks,1987,RepMoBrooks,AL,,,R
Larry,,Bucshon,2018,RepLarryBucshon,IN,,,R
Suzanne,,Bonamici,2092,RepBonamici,OR,,,D
Joyce,,Beatty,2153,RepBeatty,OH,,,D
Andy,,Barr,2131,RepAndyBarr,KY,,,R
Jim,,Bridenstine,2155,RepJBridenstine,OK,,,R
Susan,,Brooks,2129,SusanWBrooks,IN,,,R
Julia,,Brownley,2106,JuliaBrownley26,CA,,,D
Cheri,,Bustos,2127,RepCheri,IL,,,D
Ami,,Bera,2102,RepBera,CA,,,D
Bradley,,Byrne,2197,RepByrne,AL,,,R
David,A.,Brat,2203,RepDaveBrat,VA,,,R
Brian,,Babin,2270,RepBrianBabin,TX,,,R
Donald,,Beyer,2272,RepDonBeyer,VA,,,D
Mike,,Bishop,2249,RepMikeBishop,MI,,,R
Rod,,Blum,2241,RepRodBlum,IA,,,R
Mike,,Bost,2243,RepBost,IL,,,R
Brendan,,Boyle,2267,RepBrendanBoyle,PA,,,D
Ken,,Buck,2233,RepKenBuck,CO,,,R
Ken,,Calvert,165,KenCalvert,CA,,,R
Steven,J.,Chabot,186,RepSteveChabot,OH,,,R
Donna,M.C.,Christensen,1474,DelegateDonna,VI,,,D
James,E.,Clyburn,208,Clyburn,SC,,,D
John,,Conyers Jr.,229,RepJohnConyers,MI,,,D
Jim,,Cooper,231,RepJimCooper,TN,,,D
Elijah,E.,Cummings,256,RepCummings,MD,,,D
Lois,,Capps,1471,RepLoisCapps,CA,,,D
Michael,E.,Capuano,1564,,MA,,,D
Joseph,,Crowley,1604,RepJoeCrowley,NY,,,D
Ander,,Crenshaw,1643,AnderCrenshaw,FL,,,R
John,,Culberson,1670,CongCulberson,TX,,,R
William,Lacy,Clay,1654,LacyClayMO1,MO,,,D
John,,Carter,1752,JudgeCarter,TX,,,R
Tom,,Cole,1742,TomColeOK04,OK,,,R
Jim,,Costa,1774,RepJimCosta,CA,,,D
Emanuel,,Cleaver II,1790,RepCleaver,MO,,,D
K.,Michael,Conaway,1805,ConawayTX11,TX,,,R
Henry,,Cuellar,1807,RepCuellar,TX,,,D
Kathy,,Castor,1839,USRepKCastor,FL,,,D
Yvette,D.,Clarke,1864,YvetteClarke,NY,,,D
Steve,,Cohen,1878,RepCohen,TN,,,D
Joe,,Courtney,1836,RepJoeCourtney,CT,,,D
André,,Carson,1889,RepAndreCarson,IN,,,D
Jason,,Chaffetz,1956,JasonInTheHouse,UT,,,R
Mike,,Coffman,1912,RepMikeCoffman,CO,,,R
Gerald,E.,Connolly,1959,GerryConnolly,VA,,,D
Judy,,Chu,1970,RepJudyChu,CA,,,D
John,,Carney,1999,JohnCarneyde,DE,,,D
David,,Cicilline,2055,davidcicilline,RI,,,D
Rick,,Crawford,1989,RepRickCrawford,AR,,,R
Matt,,Cartwright,2159,RepCartwright,PA,,,D
Joaquin,,Castro,2163,JoaquinCastrotx,TX,,,D
